key,ru,en
game.title,BOMZHAMMER,BOMZHAMMER
game.subtitle,ПЕРЕГАР СВОБОДЫ,HANGOVER OF FREEDOM
phase.resources,Ресурсы,Resources
phase.draw,Розыгрыш,Draw
phase.movement,Перемещение,Movement
phase.combat,Бой,Combat
phase.events,События,Events
phase.end,Конец,End
ideology.alcoholism,Алкоголизм,Alcoholism
ideology.alcoholism.desc,Тоталитарный строй. 0 налогов. Водка правит.,Totalitarian. 0 taxes. Vodka rules.
ideology.dermocracy,Дерьмократия,Dermocracy
ideology.dermocracy.desc,Высокие прибыли. Свободный рынок мусора.,High profits. Free garbage market.
religion.mnogobomzhie,Многобомжие,Polyhomelessism
religion.mnogobomzhie.desc,Верование в древних богов-бомжей.,Belief in ancient hobo gods.
religion.trezvost,Трезвость,Sobriety
religion.trezvost.desc,Путь воздержания. Эффективная работа.,Path of abstinence. Efficient work.
respect.legend,Легенда,Legend
respect.authority,Авторитет,Authority
respect.normal,Нормально,Normal
respect.neutral,Нейтрально,Neutral
respect.disrespect,Неуважение,Disrespect
respect.panik,Паника,Panic
respect.collapse,Крах,Collapse
resource.bottles,Бутылки,Bottles
resource.aluminum,Алюминь,Aluminum
resource.coins,Мелочишка,Coins
resource.vodka,Водка,Vodka
resource.cardboard,Картон,Cardboard
btn.new_game,НОВАЯ ИГРА,NEW GAME
btn.continue,ПРОДОЛЖИТЬ,CONTINUE
btn.settings,НАСТРОЙКИ,SETTINGS
btn.quit,ВЫХОД,QUIT
btn.bot_arena,БОТ АРЕНА,BOT ARENA
btn.card_review,КАРТЫ,CARDS
btn.end_phase,КОНЕЦ ФАЗЫ,END PHASE
btn.back,НАЗАД,BACK
btn.fight,ДРАТЬСЯ!,FIGHT!
btn.close,ЗАКРЫТЬ,CLOSE
event.oblava,Облава!,Raid!
event.alco_coma,Алкогольная кома!,Alcohol coma!
event.golod,Голод!,Famine!
event.cirroz,Цирроз!,Cirrhosis!
event.koreycy,Национальное блюдо!,National dish!
splash.tap,НАЖМИТЕ ЧТОБЫ НАЧАТЬ,TAP TO START
